result,open,high,low,close
0.0,1.50472,1.5054,1.48905,1.48905
0.0,1.48911,1.48988,1.48338,1.48496
0.0,1.48496,1.48672,1.4818,1.483
0.0,1.483,1.48344,1.47578,1.47768
0.0,1.47764,1.47812,1.47442,1.47452
1.0,1.47469,1.47659,1.47403,1.47445
0.0,1.4745,1.4784,1.47368,1.47788
1.0,1.4778,1.48124,1.4739,1.47397
1.0,1.47388,1.4799,1.47296,1.4772
1.0,1.47725,1.48124,1.4762,1.48024
1.0,1.48028,1.48342,1.48,1.48266
1.0,1.48232,1.48574,1.48162,1.48424
0.0,1.48428,1.48971,1.47584,1.48848
0.0,1.48848,1.49174,1.48636,1.48661
1.0,1.48662,1.48964,1.48366,1.48366
0.0,1.48366,1.48904,1.48294,1.4873
1.0,1.48731,1.48842,1.48636,1.48695
0.0,1.48737,1.48832,1.48663,1.48766
0.0,1.48766,1.48766,1.47901,1.48334
0.0,1.48326,1.4854,1.47984,1.48208
1.0,1.48216,1.48399,1.47584,1.47808
0.0,1.47798,1.48225,1.47574,1.48058
1.0,1.4805,1.48164,1.47726,1.47815
1.0,1.47896,1.48214,1.47834,1.48186
1.0,1.48182,1.48342,1.48106,1.4828
0.0,1.48284,1.48978,1.48185,1.48831
0.0,1.48824,1.48924,1.48426,1.48745
1.0,1.48745,1.48908,1.48365,1.48592
0.0,1.48594,1.48864,1.4855,1.48638
1.0,1.48675,1.48728,1.48288,1.48426
1.0,1.48433,1.5013,1.48382,1.49954
1.0,1.49952,1.50536,1.49726,1.50404
0.0,1.50398,1.51234,1.50316,1.51174
1.0,1.51174,1.51828,1.51132,1.51132
0.0,1.5114,1.51428,1.51122,1.51178
1.0,1.51202,1.51244,1.50845,1.50932
0.0,1.50924,1.53006,1.50739,1.53004
0.0,1.53008,1.53021,1.52028,1.52662
0.0,1.5265,1.52857,1.51096,1.51616
0.0,1.5162,1.52218,1.51366,1.51366
0.0,1.5136,1.51652,1.51164,1.51245
0.0,1.51286,1.51421,1.50972,1.51249
1.0,1.51248,1.52088,1.50532,1.50934
0.0,1.50934,1.51434,1.50902,1.51407
1.0,1.51408,1.51638,1.51144,1.51244
1.0,1.51244,1.51714,1.51148,1.5138
0.0,1.51374,1.51554,1.51248,1.51525
1.0,1.51442,1.51568,1.51153,1.51362
0.0,1.51362,1.51525,1.50943,1.51366
1.0,1.51358,1.51358,1.50756,1.50814
0.0,1.50808,1.51415,1.50744,1.51136
0.0,1.51132,1.51132,1.50545,1.50758
0.0,1.50752,1.50776,1.50509,1.50586
0.0,1.50727,1.5082,1.50485,1.50645
1.0,1.5064,1.50679,1.5028,1.50382
0.0,1.50386,1.50859,1.50168,1.50808
0.0,1.50814,1.51083,1.50639,1.50789
1.0,1.50785,1.50841,1.49935,1.49992
0.0,1.49988,1.50302,1.49941,1.50252
0.0,1.50291,1.5036,1.50164,1.50286
1.0,1.50292,1.50426,1.49984,1.50167
0.0,1.50174,1.51096,1.50084,1.5077
0.0,1.5076,1.50906,1.5039,1.50554
0.0,1.50554,1.50696,1.50244,1.50345
1.0,1.5034,1.50442,1.50131,1.50186
1.0,1.50112,1.50404,1.5009,1.50358
0.0,1.50356,1.51,1.50294,1.50788
1.0,1.5078,1.51016,1.50198,1.5029
1.0,1.50298,1.50405,1.50041,1.50369
1.0,1.50369,1.51305,1.50346,1.51004
1.0,1.5101,1.51386,1.50684,1.51322
1.0,1.5131,1.51448,1.51046,1.51381
1.0,1.51385,1.51662,1.51268,1.51472
0.0,1.51468,1.52938,1.51398,1.52938
0.0,1.52948,1.53015,1.52544,1.52576
1.0,1.52576,1.52694,1.52062,1.52372
1.0,1.52378,1.53206,1.52269,1.5319
1.0,1.53201,1.53374,1.53013,1.5329
0.0,1.53283,1.54651,1.53283,1.54259
1.0,1.54254,1.54621,1.5355,1.53676
1.0,1.5367,1.5413,1.53421,1.53891
1.0,1.53898,1.54894,1.5348,1.54858
1.0,1.54853,1.55797,1.54794,1.55639
1.0,1.5589,1.5715,1.55612,1.56948
0.0,1.5694,1.59522,1.56918,1.5851
1.0,1.58519,1.58735,1.5786,1.58359
0.0,1.5836,1.60043,1.58171,1.59681
1.0,1.59686,1.66045,1.59651,1.59674
0.0,1.5968,1.62508,1.5951,1.62386
0.0,1.62348,1.62535,1.60624,1.60966
1.0,1.60958,1.61222,1.59383,1.6047
0.0,1.60463,1.61336,1.59754,1.60724
0.0,1.6072,1.60978,1.58232,1.59192
1.0,1.59176,1.59659,1.58534,1.59017
1.0,1.59018,1.61884,1.58909,1.61552
0.0,1.61552,1.62856,1.60775,1.61674
0.0,1.61681,1.62338,1.61078,1.61198
0.0,1.6119,1.6192,1.6052,1.60924
1.0,1.60926,1.61186,1.59043,1.59408
0.0,1.59412,1.61184,1.59246,1.60654
1.0,1.60667,1.60792,1.58603,1.58863
1.0,1.58884,1.59345,1.58681,1.59121
0.0,1.5913,1.59706,1.58365,1.59654
0.0,1.59662,1.59996,1.58106,1.5819
0.0,1.58198,1.58326,1.57515,1.57628
1.0,1.57628,1.57931,1.56423,1.56828
0.0,1.56827,1.5755,1.56704,1.56929
1.0,1.56937,1.57021,1.56232,1.56308
1.0,1.56304,1.57306,1.56015,1.56862
1.0,1.5687,1.57773,1.5686,1.57482
0.0,1.57488,1.58106,1.57381,1.57752
0.0,1.57749,1.57886,1.56132,1.56244
0.0,1.5624,1.56847,1.55893,1.55926
1.0,1.55926,1.55926,1.55926,1.55926
1.0,1.56208,1.57358,1.56032,1.57226
0.0,1.57232,1.57764,1.5675,1.57432
1.0,1.57428,1.57644,1.56926,1.5704
0.0,1.57059,1.58044,1.56945,1.57828
1.0,1.57836,1.58348,1.57358,1.57392
1.0,1.57396,1.5786,1.5735,1.576
1.0,1.57684,1.58354,1.57512,1.57883
1.0,1.57863,1.58716,1.57415,1.58157
1.0,1.58156,1.5981,1.57996,1.593
1.0,1.59296,1.59783,1.589,1.59702
1.0,1.59712,1.60324,1.59343,1.6018
0.0,1.60188,1.61332,1.60134,1.61194
1.0,1.61208,1.61394,1.60234,1.6032
1.0,1.60314,1.61537,1.6015,1.6043
0.0,1.60428,1.61163,1.59698,1.60866
0.0,1.60875,1.61306,1.59994,1.60128
0.0,1.60121,1.6049,1.59716,1.5987
0.0,1.59878,1.60065,1.59338,1.595
1.0,1.59479,1.59536,1.58861,1.59172
1.0,1.59181,1.60244,1.59172,1.5986
0.0,1.59854,1.60646,1.59763,1.60202
0.0,1.6021,1.60488,1.5858,1.5873
1.0,1.5872,1.59012,1.57456,1.58246
1.0,1.58245,1.58922,1.5811,1.58505
1.0,1.58532,1.59008,1.58383,1.5899
0.0,1.59,1.5997,1.58811,1.59688
1.0,1.59698,1.59982,1.59303,1.59508
1.0,1.59512,1.60792,1.58955,1.60226
1.0,1.60236,1.61289,1.5979,1.61003
0.0,1.60994,1.61454,1.60706,1.61371
0.0,1.61113,1.61443,1.60452,1.61039
0.0,1.61046,1.61243,1.60438,1.61036
0.0,1.61024,1.61221,1.60478,1.60926
1.0,1.60922,1.6121,1.60408,1.6057
1.0,1.6057,1.61363,1.60568,1.61112
0.0,1.61104,1.61362,1.61084,1.61324
1.0,1.61314,1.61342,1.60576,1.6076
0.0,1.60759,1.61436,1.60192,1.61137
0.0,1.61127,1.61442,1.59964,1.60224
0.0,1.60218,1.60238,1.59487,1.59696
1.0,1.59696,1.60034,1.58844,1.5911
0.0,1.59118,1.59726,1.58766,1.5964
0.0,1.59651,1.59711,1.5879,1.58826
1.0,1.5883,1.59013,1.58204,1.58442
0.0,1.58452,1.59278,1.57962,1.58984
