result,open,high,low,close
0.0,1.44018,1.44221,1.43978,1.44015
1.0,1.44016,1.44076,1.43776,1.43893
0.0,1.43893,1.44312,1.43846,1.44
0.0,1.44,1.44153,1.43682,1.43916
0.0,1.43912,1.43966,1.43465,1.43541
0.0,1.43566,1.43711,1.43454,1.43473
0.0,1.43472,1.43484,1.43241,1.43416
0.0,1.43416,1.43629,1.43144,1.43162
1.0,1.43161,1.43916,1.42987,1.43108
1.0,1.43108,1.4344,1.42818,1.43382
0.0,1.43382,1.43807,1.43342,1.43726
1.0,1.43719,1.43954,1.43574,1.43623
0.0,1.43624,1.43694,1.43519,1.43668
0.0,1.43667,1.43972,1.43426,1.43446
1.0,1.43445,1.43806,1.43235,1.43417
0.0,1.43417,1.43864,1.43289,1.43466
1.0,1.43466,1.4352,1.43168,1.43218
0.0,1.43219,1.43364,1.43176,1.4336
1.0,1.43361,1.43389,1.4315,1.4328
0.0,1.43278,1.4354,1.43132,1.43296
1.0,1.43296,1.43426,1.42619,1.4317
1.0,1.43166,1.4402,1.42846,1.43974
1.0,1.43974,1.44121,1.43812,1.44029
1.0,1.43874,1.44134,1.43838,1.44076
1.0,1.44076,1.44234,1.44034,1.44207
0.0,1.44207,1.44602,1.4396,1.44454
0.0,1.44455,1.44509,1.43736,1.43877
0.0,1.4388,1.44074,1.43261,1.43492
1.0,1.43492,1.4373,1.43207,1.43267
1.0,1.43319,1.43458,1.4325,1.43449
1.0,1.43444,1.43796,1.43355,1.43532
1.0,1.43534,1.43794,1.43186,1.43788
0.0,1.43788,1.44888,1.43729,1.44857
1.0,1.44855,1.45398,1.44644,1.44683
0.0,1.44684,1.4493,1.44648,1.4482
1.0,1.44823,1.44834,1.44532,1.4455
1.0,1.4455,1.45534,1.44471,1.45521
0.0,1.45522,1.45794,1.45142,1.45675
1.0,1.45675,1.45732,1.44616,1.44833
0.0,1.44834,1.45486,1.44788,1.44962
1.0,1.44962,1.45253,1.44825,1.44862
0.0,1.44851,1.44996,1.44734,1.4488
0.0,1.4488,1.45103,1.44418,1.44603
1.0,1.44604,1.44677,1.44336,1.4453
1.0,1.44532,1.44978,1.44398,1.44846
1.0,1.44846,1.45774,1.44712,1.45636
1.0,1.45634,1.4579,1.45462,1.45645
1.0,1.45624,1.45838,1.4562,1.45774
0.0,1.45773,1.45827,1.45508,1.45784
1.0,1.45784,1.45802,1.4542,1.4558
0.0,1.45578,1.46146,1.45548,1.45862
1.0,1.45861,1.45861,1.45088,1.4544
0.0,1.45439,1.45552,1.45236,1.4549
0.0,1.45596,1.45596,1.45272,1.45427
1.0,1.45426,1.45463,1.4525,1.45388
0.0,1.45389,1.4583,1.45204,1.45807
0.0,1.45808,1.45994,1.45591,1.45758
0.0,1.45758,1.45858,1.44927,1.44955
1.0,1.44958,1.45106,1.44692,1.44892
0.0,1.44935,1.4513,1.44926,1.45038
1.0,1.45038,1.45124,1.44844,1.44884
0.0,1.44883,1.45463,1.44838,1.45304
0.0,1.45306,1.45306,1.44358,1.44437
0.0,1.44437,1.44602,1.44032,1.44174
1.0,1.44172,1.4433,1.43868,1.43954
1.0,1.43952,1.44084,1.43914,1.44068
0.0,1.44068,1.44264,1.43978,1.44234
1.0,1.44235,1.44559,1.44048,1.44162
1.0,1.44162,1.44462,1.44032,1.44355
1.0,1.44356,1.45756,1.44302,1.45608
1.0,1.45609,1.45996,1.45081,1.45988
0.0,1.45984,1.4614,1.45831,1.46006
1.0,1.46004,1.46076,1.45904,1.45962
0.0,1.45962,1.46802,1.45848,1.46786
1.0,1.46788,1.47092,1.45998,1.46076
1.0,1.46079,1.46854,1.46036,1.46584
0.0,1.46586,1.47158,1.46416,1.47098
1.0,1.4709,1.4715,1.46892,1.47002
0.0,1.47002,1.47942,1.46986,1.47785
1.0,1.47784,1.47938,1.47094,1.47286
