result,open,high,low,close
1.0,1.09329,1.09502,1.09329,1.09428
0.0,1.09432,1.09786,1.09414,1.09707
0.0,1.09704,1.09876,1.09588,1.09697
0.0,1.09694,1.09816,1.09462,1.09623
0.0,1.0962,1.09634,1.08792,1.08816
0.0,1.08826,1.0894,1.08716,1.08747
0.0,1.08744,1.0875,1.08484,1.08678
1.0,1.08676,1.08774,1.0852,1.08579
0.0,1.08574,1.09342,1.08482,1.08984
1.0,1.08986,1.09138,1.08501,1.08728
1.0,1.08732,1.09108,1.08714,1.09058
1.0,1.09052,1.09343,1.08982,1.09127
0.0,1.09131,1.09164,1.09024,1.09136
0.0,1.09136,1.09439,1.08861,1.08864
1.0,1.08864,1.09214,1.08734,1.08834
0.0,1.08837,1.09357,1.0876,1.09254
1.0,1.09253,1.0935,1.09137,1.09249
0.0,1.09238,1.09311,1.092,1.09276
1.0,1.09279,1.09302,1.09106,1.09196
0.0,1.09196,1.09496,1.0907,1.09236
1.0,1.0924,1.09755,1.08588,1.08596
1.0,1.08594,1.09785,1.08554,1.0959
0.0,1.0959,1.09744,1.09558,1.09662
1.0,1.09658,1.09682,1.09511,1.09532
0.0,1.09528,1.09742,1.09504,1.09732
0.0,1.09733,1.09814,1.09571,1.09645
1.0,1.09647,1.0971,1.09254,1.09504
0.0,1.09504,1.10356,1.09386,1.10247
1.0,1.1025,1.10415,1.10127,1.10186
0.0,1.10211,1.10324,1.10139,1.10312
1.0,1.10309,1.10309,1.09694,1.09772
1.0,1.09775,1.10492,1.09607,1.1038
0.0,1.10376,1.1073,1.10192,1.10725
1.0,1.10725,1.10886,1.10108,1.1019
0.0,1.10193,1.10446,1.10182,1.10422
1.0,1.10424,1.10484,1.10372,1.10406
1.0,1.10406,1.1075,1.10243,1.10735
1.0,1.10736,1.11576,1.10691,1.11306
1.0,1.11303,1.11786,1.11236,1.11466
0.0,1.11463,1.12139,1.11428,1.11752
0.0,1.11758,1.11876,1.11581,1.11604
0.0,1.11592,1.11629,1.11512,1.1156
0.0,1.11564,1.11893,1.11319,1.11368
0.0,1.11364,1.1153,1.1107,1.11186
1.0,1.11188,1.11244,1.108,1.10986
1.0,1.10987,1.11502,1.10912,1.11395
1.0,1.11392,1.1166,1.11282,1.11511
0.0,1.11494,1.11612,1.11489,1.11601
0.0,1.11598,1.11598,1.11378,1.11564
1.0,1.11566,1.11716,1.11241,1.11395
0.0,1.11394,1.11888,1.11332,1.11532
0.0,1.11532,1.1158,1.1098,1.1139
0.0,1.11387,1.11387,1.11018,1.11094
0.0,1.11197,1.11218,1.10916,1.10953
1.0,1.10955,1.11016,1.10822,1.109
1.0,1.10902,1.11125,1.10627,1.11043
0.0,1.11046,1.11249,1.10817,1.1109
0.0,1.11093,1.11218,1.10588,1.10789
0.0,1.10788,1.10856,1.10734,1.10765
0.0,1.10782,1.10798,1.1073,1.10738
1.0,1.10742,1.1082,1.10516,1.10557
0.0,1.10554,1.10938,1.10534,1.10758
0.0,1.10756,1.10798,1.10264,1.10318
0.0,1.10314,1.10466,1.10174,1.1031
1.0,1.10306,1.10362,1.10178,1.10254
1.0,1.10242,1.10391,1.10207,1.1038
1.0,1.1038,1.10526,1.10361,1.10489
0.0,1.10492,1.10734,1.10483,1.10538
1.0,1.10536,1.10764,1.10178,1.10368
1.0,1.1037,1.10708,1.10226,1.1058
1.0,1.10582,1.11344,1.10358,1.112
0.0,1.11212,1.11484,1.1115,1.11409
1.0,1.11407,1.11442,1.11308,1.11351
1.0,1.11356,1.11448,1.11072,1.11434
1.0,1.11438,1.1185,1.11335,1.11552
1.0,1.11556,1.12208,1.11526,1.11938
0.0,1.1194,1.12448,1.11829,1.12408
1.0,1.12396,1.12427,1.12296,1.12388
0.0,1.1239,1.12916,1.12378,1.12875
1.0,1.12873,1.12952,1.12408,1.1258
1.0,1.12583,1.13074,1.12445,1.12867
1.0,1.1287,1.13764,1.12802,1.13611
1.0,1.13608,1.13886,1.13484,1.1387
1.0,1.13772,1.13956,1.13696,1.13856
1.0,1.13857,1.14987,1.13857,1.14555
1.0,1.14552,1.15004,1.14201,1.14714
0.0,1.14716,1.15715,1.14568,1.15484
1.0,1.15482,1.17142,1.15268,1.1529
0.0,1.15292,1.16222,1.15184,1.16198
0.0,1.16216,1.16218,1.15488,1.15734
1.0,1.1573,1.15797,1.15254,1.15512
0.0,1.1551,1.15782,1.15132,1.15555
0.0,1.15558,1.15584,1.1456,1.14742
1.0,1.14739,1.14873,1.13969,1.14234
1.0,1.1423,1.15374,1.14142,1.15164
0.0,1.15164,1.15614,1.1506,1.15236
0.0,1.1524,1.15412,1.14924,1.14934
0.0,1.14931,1.15196,1.1465,1.14734
1.0,1.14734,1.14804,1.13524,1.13792
0.0,1.1379,1.14379,1.13646,1.13848
1.0,1.13846,1.13909,1.1292,1.1314
1.0,1.13108,1.1342,1.13102,1.13337
0.0,1.13334,1.1357,1.13222,1.13514
0.0,1.13512,1.13647,1.12772,1.12828
0.0,1.12832,1.13078,1.12364,1.12436
1.0,1.12434,1.12668,1.12034,1.1236
0.0,1.12356,1.12795,1.12313,1.12462
1.0,1.12441,1.12515,1.12321,1.12358
1.0,1.12354,1.12684,1.12354,1.12543
0.0,1.12546,1.13098,1.1252,1.12885
0.0,1.12882,1.13012,1.1243,1.12444
0.0,1.12447,1.12554,1.1156,1.11842
0.0,1.11843,1.12198,1.1178,1.11842
1.0,1.11842,1.11842,1.11841,1.11841
1.0,1.11741,1.12278,1.11704,1.12234
0.0,1.12232,1.12617,1.1215,1.12516
1.0,1.12518,1.12624,1.12004,1.12018
0.0,1.12026,1.12352,1.1197,1.12262
1.0,1.12264,1.1244,1.11803,1.12041
1.0,1.12044,1.12402,1.12038,1.1211
1.0,1.12126,1.12485,1.12084,1.12432
1.0,1.12432,1.12774,1.1237,1.12694
0.0,1.12696,1.13324,1.12627,1.12756
1.0,1.12753,1.12846,1.12335,1.1261
1.0,1.12608,1.12816,1.12346,1.12708
0.0,1.12706,1.13194,1.12677,1.13146
1.0,1.13125,1.13193,1.12649,1.12672
1.0,1.12669,1.12914,1.12608,1.1279
0.0,1.12787,1.12917,1.12425,1.12806
0.0,1.12806,1.12942,1.12346,1.124
0.0,1.12398,1.125,1.12226,1.12352
0.0,1.12352,1.12482,1.12167,1.12267
1.0,1.12262,1.12278,1.12054,1.12131
1.0,1.12134,1.12245,1.12126,1.12186
0.0,1.1219,1.12434,1.12142,1.12405
0.0,1.12408,1.12417,1.11103,1.11193
1.0,1.11193,1.11515,1.10874,1.11172
1.0,1.1117,1.11398,1.1113,1.11236
1.0,1.11238,1.11346,1.1116,1.11284
1.0,1.11286,1.11394,1.11205,1.1131
0.0,1.11312,1.11615,1.11228,1.11408
1.0,1.11411,1.11919,1.10898,1.11284
1.0,1.11286,1.11478,1.10944,1.1144
1.0,1.11436,1.11762,1.11324,1.11489
0.0,1.11632,1.11746,1.11424,1.11664
1.0,1.11666,1.11694,1.11412,1.11424
0.0,1.11421,1.11647,1.11216,1.11625
1.0,1.11623,1.11777,1.11388,1.1148
1.0,1.11478,1.11732,1.11474,1.11692
0.0,1.11692,1.11724,1.11641,1.11704
1.0,1.117,1.11739,1.1153,1.11656
0.0,1.11654,1.12235,1.11606,1.12116
0.0,1.12113,1.12295,1.11711,1.11832
1.0,1.11837,1.11876,1.11526,1.11738
1.0,1.1174,1.11974,1.11695,1.11838
0.0,1.11838,1.1214,1.1167,1.12026
0.0,1.12024,1.12164,1.11878,1.11934
1.0,1.11936,1.12074,1.11616,1.11688
0.0,1.11685,1.12074,1.1147,1.11939
1.0,1.1194,1.11984,1.11318,1.11324
1.0,1.11328,1.1181,1.11324,1.11598
1.0,1.11598,1.12092,1.11526,1.12074
0.0,1.12067,1.1245,1.12046,1.12313
0.0,1.12317,1.12382,1.11945,1.12141
1.0,1.12138,1.12348,1.11824,1.11972
1.0,1.11976,1.12185,1.11719,1.12112
1.0,1.12115,1.12827,1.11984,1.12638
0.0,1.1264,1.12954,1.12638,1.12791
1.0,1.12787,1.13019,1.12732,1.12782
1.0,1.12786,1.12877,1.1276,1.1287
0.0,1.12872,1.131,1.12751,1.12907
1.0,1.1291,1.12935,1.12544,1.12786
0.0,1.1279,1.13486,1.12744,1.13448
1.0,1.13451,1.13494,1.1328,1.1338
0.0,1.13324,1.13596,1.13288,1.13483
0.0,1.13482,1.13532,1.13407,1.13436
0.0,1.13432,1.13733,1.13298,1.13374
1.0,1.13377,1.13382,1.12986,1.13018
0.0,1.13022,1.13216,1.12834,1.13192
0.0,1.13188,1.13246,1.13044,1.13167
1.0,1.13196,1.13201,1.1301,1.13055
0.0,1.13058,1.13289,1.13055,1.13174
0.0,1.13172,1.13242,1.12844,1.1304
0.0,1.13044,1.13286,1.12937,1.13042
0.0,1.13039,1.13145,1.12588,1.12831
1.0,1.12828,1.12867,1.12621,1.12687
1.0,1.1269,1.12804,1.12636,1.12786
0.0,1.12788,1.12986,1.12786,1.12948
1.0,1.12945,1.12945,1.12456,1.12538
1.0,1.12532,1.12728,1.1214,1.12679
0.0,1.12678,1.13207,1.12673,1.13091
1.0,1.13096,1.13144,1.12749,1.12915
1.0,1.12911,1.1303,1.12864,1.12938
1.0,1.12942,1.13181,1.1293,1.12962
0.0,1.12962,1.1338,1.12846,1.13299
0.0,1.133,1.13352,1.13106,1.13281
1.0,1.1328,1.13288,1.12944,1.13044
0.0,1.13042,1.14413,1.13032,1.14346
1.0,1.14319,1.1433,1.139,1.14036
1.0,1.1404,1.14116,1.13914,1.14046
0.0,1.14049,1.14528,1.13954,1.1449
0.0,1.14486,1.14602,1.14102,1.14228
0.0,1.14224,1.14297,1.13505,1.13666
1.0,1.1367,1.13676,1.12693,1.13006
1.0,1.1284,1.1307,1.12821,1.13058
0.0,1.13058,1.1322,1.13029,1.13147
0.0,1.13144,1.13304,1.12888,1.12974
0.0,1.1297,1.12996,1.12344,1.12452
0.0,1.12456,1.12548,1.11813,1.12128
1.0,1.12126,1.12129,1.11882,1.1189
1.0,1.11898,1.11974,1.1183,1.11946
0.0,1.11944,1.1206,1.11942,1.12014
0.0,1.12018,1.12079,1.11554,1.11968
0.0,1.11965,1.12006,1.11481,1.11547
1.0,1.11544,1.117,1.11134,1.11242
0.0,1.1124,1.11405,1.11182,1.11272
1.0,1.1126,1.11335,1.11054,1.11078
0.0,1.1108,1.11406,1.11078,1.11354
1.0,1.11357,1.11544,1.11075,1.11126
1.0,1.11123,1.11756,1.11111,1.11316
1.0,1.11314,1.11906,1.11152,1.11736
0.0,1.11732,1.12135,1.11714,1.11854
1.0,1.11845,1.1192,1.11759,1.11812
1.0,1.1181,1.11954,1.11646,1.1192
1.0,1.11922,1.12236,1.11812,1.1199
1.0,1.11989,1.1257,1.11932,1.12514
0.0,1.1251,1.1296,1.12368,1.1255
0.0,1.12548,1.12584,1.12125,1.12326
0.0,1.12136,1.12262,1.11601,1.11694
0.0,1.11698,1.11844,1.11668,1.11686
1.0,1.11688,1.11762,1.11163,1.11398
1.0,1.11398,1.11776,1.11252,1.11568
1.0,1.11573,1.12077,1.11522,1.11861
1.0,1.11864,1.12133,1.11702,1.1198
0.0,1.11858,1.12146,1.11844,1.11958
0.0,1.11961,1.12022,1.1181,1.11842
0.0,1.11844,1.12,1.11648,1.11804
1.0,1.11802,1.12032,1.11507,1.11572
1.0,1.11569,1.12438,1.11469,1.12378
0.0,1.1238,1.12478,1.12243,1.12443
1.0,1.1245,1.12566,1.12274,1.12435
0.0,1.12433,1.12651,1.12426,1.12624
0.0,1.12628,1.12816,1.12194,1.12274
1.0,1.12269,1.12436,1.11941,1.12054
0.0,1.12054,1.12678,1.11954,1.12605
0.0,1.12608,1.12664,1.12292,1.12489
1.0,1.12493,1.12618,1.12476,1.12476
0.0,1.12476,1.12608,1.12403,1.12554
0.0,1.1255,1.12554,1.12122,1.12278
0.0,1.12279,1.12364,1.1184,1.11938
0.0,1.11941,1.11962,1.11574,1.1182
0.0,1.11823,1.11866,1.11623,1.11769
0.0,1.11751,1.11788,1.11683,1.11726
1.0,1.11727,1.11738,1.11446,1.11499
0.0,1.11498,1.11678,1.1135,1.11635
1.0,1.11632,1.11706,1.11441,1.11624
0.0,1.11626,1.12092,1.11572,1.11964
0.0,1.1196,1.12011,1.11808,1.11942
0.0,1.11924,1.11954,1.11818,1.11902
0.0,1.11902,1.12043,1.11756,1.11756
1.0,1.11753,1.11816,1.11602,1.11632
0.0,1.11635,1.13157,1.11506,1.12868
0.0,1.12869,1.13184,1.12352,1.12418
1.0,1.12418,1.12448,1.12002,1.12112
1.0,1.12207,1.12268,1.12076,1.12213
1.0,1.12216,1.12472,1.12206,1.12335
0.0,1.12332,1.1265,1.12217,1.12589
0.0,1.12586,1.12895,1.12101,1.12117
1.0,1.1212,1.12248,1.11736,1.11871
1.0,1.11868,1.11905,1.11744,1.11882
0.0,1.11893,1.11978,1.11836,1.11908
1.0,1.1191,1.11942,1.11722,1.11808
1.0,1.11806,1.12198,1.11739,1.12062
1.0,1.12059,1.12323,1.12008,1.12068
1.0,1.12066,1.12747,1.12062,1.12632
0.0,1.12632,1.12796,1.12568,1.12717
1.0,1.1274,1.1276,1.1261,1.1266
0.0,1.12656,1.12843,1.12616,1.12662
1.0,1.1266,1.12668,1.12222,1.1242
0.0,1.12422,1.12736,1.12318,1.1256
0.0,1.12562,1.12658,1.12116,1.12431
1.0,1.12428,1.12559,1.12337,1.12374
1.0,1.12371,1.1246,1.12347,1.1239
1.0,1.12393,1.12618,1.12381,1.12578
0.0,1.1258,1.13098,1.12472,1.12934
1.0,1.12931,1.13148,1.12382,1.12602
0.0,1.126,1.12914,1.1244,1.12823
1.0,1.12824,1.13274,1.12628,1.1276
1.0,1.12774,1.12926,1.12762,1.12826
1.0,1.1283,1.12868,1.12672,1.12843
1.0,1.12838,1.1347,1.12721,1.13236
1.0,1.13234,1.13785,1.13153,1.13692
0.0,1.13694,1.13872,1.13352,1.13799
1.0,1.13801,1.13818,1.13522,1.13586
0.0,1.13634,1.1378,1.13543,1.1374
1.0,1.13742,1.13764,1.1364,1.1372
0.0,1.13723,1.13847,1.136,1.13805
1.0,1.13802,1.13967,1.13636,1.1368
0.0,1.13676,1.1381,1.13568,1.1379
0.0,1.13788,1.138,1.13582,1.13586
1.0,1.13604,1.13612,1.13444,1.13476
1.0,1.13479,1.13706,1.13474,1.13673
1.0,1.1367,1.1411,1.13634,1.1381
0.0,1.1381,1.14008,1.1365,1.13916
0.0,1.13914,1.13958,1.13554,1.13897
1.0,1.13898,1.13933,1.1378,1.13786
0.0,1.13796,1.13966,1.13776,1.13965
1.0,1.13968,1.14014,1.13834,1.13888
1.0,1.13892,1.14276,1.13892,1.14057
1.0,1.1406,1.1446,1.13912,1.14425
1.0,1.14428,1.14481,1.14084,1.14446
0.0,1.14444,1.14892,1.14424,1.14736
1.0,1.14732,1.1484,1.14656,1.14672
0.0,1.14672,1.14906,1.14615,1.14802
0.0,1.14798,1.14952,1.14253,1.14418
1.0,1.14416,1.14513,1.13698,1.13834
0.0,1.13832,1.14195,1.13632,1.14006
0.0,1.14004,1.14015,1.13726,1.13842
1.0,1.13944,1.13964,1.1359,1.13657
0.0,1.1366,1.13844,1.13612,1.13826
0.0,1.13824,1.1395,1.13532,1.13606
1.0,1.13608,1.13673,1.13344,1.1359
0.0,1.13586,1.13898,1.13471,1.1381
1.0,1.1381,1.13914,1.13474,1.13487
0.0,1.13606,1.1375,1.13514,1.13706
0.0,1.13708,1.13782,1.13542,1.13626
0.0,1.13629,1.13792,1.13394,1.136
0.0,1.13597,1.136,1.13088,1.1334
1.0,1.1334,1.13443,1.13056,1.13216
1.0,1.13214,1.13292,1.13194,1.13272
0.0,1.13302,1.13346,1.13243,1.13341
1.0,1.13344,1.13396,1.13302,1.13312
1.0,1.13316,1.13647,1.1324,1.13592
0.0,1.1359,1.13868,1.13448,1.1365
0.0,1.13654,1.13675,1.13325,1.13518
1.0,1.1352,1.1357,1.13358,1.13458
0.0,1.13452,1.13676,1.13441,1.1362
0.0,1.13622,1.13648,1.13555,1.13614
0.0,1.13614,1.13775,1.13436,1.13598
0.0,1.13596,1.13638,1.13342,1.13542
0.0,1.13543,1.1364,1.13373,1.1346
0.0,1.13462,1.13548,1.13358,1.13386
1.0,1.13394,1.13484,1.133,1.13356
0.0,1.13355,1.1351,1.13355,1.13362
0.0,1.13362,1.13458,1.13022,1.13132
0.0,1.1313,1.13272,1.11784,1.11969
0.0,1.11965,1.1213,1.11183,1.11368
0.0,1.11366,1.11392,1.11002,1.11087
1.0,1.11065,1.11097,1.1072,1.10902
1.0,1.10906,1.11196,1.10906,1.11096
0.0,1.11093,1.11377,1.10913,1.11294
0.0,1.11292,1.11398,1.10278,1.10469
1.0,1.10465,1.1057,1.10064,1.10156
1.0,1.10154,1.10182,1.09966,1.10174
1.0,1.10015,1.10316,1.09985,1.10211
1.0,1.10214,1.10396,1.10152,1.10356
0.0,1.10355,1.10562,1.1028,1.10395
1.0,1.10394,1.10464,1.1012,1.10162
1.0,1.10166,1.1059,1.1004,1.10522
0.0,1.10526,1.10684,1.10421,1.10588
1.0,1.1055,1.10641,1.10478,1.10491
0.0,1.1049,1.10694,1.10452,1.10642
1.0,1.10638,1.10723,1.10428,1.1044
0.0,1.10441,1.10788,1.10364,1.10499
1.0,1.10499,1.10674,1.10303,1.10384
0.0,1.10386,1.1047,1.10332,1.10454
1.0,1.10444,1.10486,1.10261,1.10314
1.0,1.10317,1.10396,1.10254,1.10344
1.0,1.1034,1.10598,1.10278,1.10448
0.0,1.10443,1.109,1.10424,1.1088
0.0,1.10884,1.1096,1.10572,1.10704
0.0,1.10706,1.10834,1.08971,1.09242
1.0,1.09252,1.09324,1.09027,1.09098
1.0,1.091,1.09346,1.09074,1.09246
0.0,1.09249,1.09456,1.09168,1.09444
1.0,1.09446,1.0977,1.0935,1.09353
1.0,1.09354,1.09859,1.09249,1.0962
1.0,1.09623,1.09814,1.09512,1.09773
0.0,1.09787,1.09982,1.0976,1.09838
1.0,1.0984,1.09947,1.09653,1.0978
1.0,1.09776,1.10175,1.0973,1.1007
1.0,1.10074,1.10376,1.0995,1.1008
0.0,1.1008,1.10728,1.09994,1.10202
0.0,1.10204,1.10251,1.0987,1.10063
1.0,1.1036,1.10384,1.10177,1.10322
0.0,1.1032,1.1039,1.10246,1.10332
1.0,1.1033,1.10498,1.10042,1.10044
0.0,1.10043,1.10526,1.10005,1.10506
0.0,1.10503,1.10503,1.10156,1.10208
0.0,1.1021,1.10308,1.10062,1.10154
1.0,1.1014,1.10188,1.1007,1.10105
0.0,1.10106,1.102,1.10106,1.10194
0.0,1.10197,1.10301,1.09776,1.09848
0.0,1.09844,1.09894,1.09574,1.09656
1.0,1.09654,1.09684,1.09362,1.09588
0.0,1.09587,1.097,1.0944,1.09651
1.0,1.09646,1.0968,1.09446,1.0947
0.0,1.09474,1.09578,1.09378,1.09576
0.0,1.09572,1.09572,1.0916,1.09175
0.0,1.09178,1.09394,1.09044,1.09066
1.0,1.09069,1.09122,1.08446,1.08558
1.0,1.08558,1.08662,1.08442,1.0866
1.0,1.08651,1.08733,1.08573,1.08702
0.0,1.08705,1.08768,1.0864,1.08714
1.0,1.08717,1.08926,1.08339,1.08653
0.0,1.08652,1.0898,1.08507,1.08805
1.0,1.08802,1.08934,1.0858,1.08647
1.0,1.08644,1.08898,1.08636,1.08836
0.0,1.08822,1.08884,1.08792,1.08874
0.0,1.08874,1.08938,1.08776,1.08823
0.0,1.08822,1.08855,1.08633,1.08657
1.0,1.08655,1.08846,1.07075,1.0735
1.0,1.07346,1.07521,1.07072,1.07368
1.0,1.07372,1.07476,1.0721,1.074
1.0,1.07298,1.0749,1.072,1.07476
1.0,1.07472,1.07714,1.07459,1.07648
0.0,1.07648,1.0778,1.07532,1.07698
1.0,1.07702,1.07902,1.07347,1.07418
0.0,1.07416,1.07832,1.07266,1.07577
1.0,1.07574,1.07676,1.07456,1.07506
0.0,1.07492,1.07621,1.07487,1.07497
0.0,1.07495,1.07548,1.07374,1.07464
0.0,1.07466,1.07642,1.07299,1.07365
