result,open,high,low,close
0.0,1.7308,1.7308,1.7308,1.7308
0.0,1.7549,1.7549,1.7549,1.7549
0.0,1.7752,1.7752,1.7752,1.7752
0.0,1.7659,1.7659,1.7659,1.7659
0.0,1.7651,1.7651,1.7651,1.7651
0.0,1.7424,1.7424,1.7424,1.7424
0.0,1.7507,1.7507,1.7507,1.7507
0.0,1.7459,1.7459,1.7459,1.7459
0.0,1.7362,1.7362,1.7362,1.7362
0.0,1.7351,1.7351,1.7351,1.7351
0.0,1.733,1.733,1.733,1.733
0.0,1.754,1.754,1.754,1.754
0.0,1.7437,1.7437,1.7437,1.7437
0.0,1.7423,1.7423,1.7423,1.7423
0.0,1.76695,1.76695,1.76695,1.76695
0.0,1.7622,1.7622,1.7622,1.7622
0.0,1.7609,1.7609,1.7609,1.7609
0.0,1.7553,1.7553,1.7553,1.7553
0.0,1.7606,1.7606,1.7606,1.7606
0.0,1.7578,1.7578,1.7578,1.7578
0.0,1.73925,1.73925,1.73925,1.73925
0.0,1.7381,1.7381,1.7381,1.7381
0.0,1.7387,1.7387,1.7387,1.7387
0.0,1.742,1.742,1.742,1.742
0.0,1.75055,1.75055,1.75055,1.75055
0.0,1.7445,1.7445,1.7445,1.7445
0.0,1.7249,1.7249,1.7249,1.7249
0.0,1.7264,1.7264,1.7264,1.7264
0.0,1.7279,1.7279,1.7279,1.7279
0.0,1.7268,1.7268,1.7268,1.7268
0.0,1.7225,1.7225,1.7225,1.7225
0.0,1.71085,1.71085,1.71085,1.71085
0.0,1.72035,1.72035,1.72035,1.72035
0.0,1.7193,1.7193,1.7193,1.7193
0.0,1.7163,1.7163,1.7163,1.7163
0.0,1.7057,1.7057,1.7057,1.7057
0.0,1.70045,1.70045,1.70045,1.70045
0.0,1.7108,1.7108,1.7108,1.7108
0.0,1.7094,1.7094,1.7094,1.7094
0.0,1.7005,1.7005,1.7005,1.7005
0.0,1.6994,1.6994,1.6994,1.6994
0.0,1.6998,1.6998,1.6998,1.6998
0.0,1.6945,1.6945,1.6945,1.6945
0.0,1.71395,1.71395,1.71395,1.71395
0.0,1.7146,1.7146,1.7146,1.7146
0.0,1.7046,1.7046,1.7046,1.7046
0.0,1.7068,1.7068,1.7068,1.7068
0.0,1.7119,1.7119,1.7119,1.7119
0.0,1.7242,1.7242,1.7242,1.7242
0.0,1.7227,1.7227,1.7227,1.7227
0.0,1.722,1.722,1.722,1.722
0.0,1.7102,1.7102,1.7102,1.7102
0.0,1.7135,1.7135,1.7135,1.7135
0.0,1.70975,1.70975,1.70975,1.70975
0.0,1.70575,1.70575,1.70575,1.70575
0.0,1.71195,1.71195,1.71195,1.71195
0.0,1.7133,1.7133,1.7133,1.7133
0.0,1.7207,1.7207,1.7207,1.7207
0.0,1.7198,1.7198,1.7198,1.7198
0.0,1.71545,1.71545,1.71545,1.71545
0.0,1.71585,1.71585,1.71585,1.71585
0.0,1.70845,1.70845,1.70845,1.70845
0.0,1.71435,1.71435,1.71435,1.71435
0.0,1.7259,1.7259,1.7259,1.7259
0.0,1.7293,1.7293,1.7293,1.7293
0.0,1.72135,1.72135,1.72135,1.72135
0.0,1.72665,1.72665,1.72665,1.72665
0.0,1.72315,1.72315,1.72315,1.72315
0.0,1.70605,1.70605,1.70605,1.70605
0.0,1.7021,1.7021,1.7021,1.7021
0.0,1.7017,1.7017,1.7017,1.7017
0.0,1.7017,1.7017,1.7017,1.7017
0.0,1.7145,1.7145,1.7145,1.7145
0.0,1.7119,1.7119,1.7119,1.7119
