result,open,high,low,close
0.0,1.4669,1.4669,1.4669,1.4669
0.0,1.4666,1.4666,1.4666,1.4666
0.0,1.4654,1.4654,1.4654,1.4654
0.0,1.46465,1.46465,1.46465,1.46465
0.0,1.4592,1.4592,1.4592,1.4592
0.0,1.4577,1.4577,1.4577,1.4577
0.0,1.4542,1.4542,1.4542,1.4542
0.0,1.4527,1.4527,1.4527,1.4527
0.0,1.4516,1.4516,1.4516,1.4516
0.0,1.4457,1.4457,1.4457,1.4457
0.0,1.447,1.447,1.447,1.447
0.0,1.4456,1.4456,1.4456,1.4456
0.0,1.458,1.458,1.458,1.458
0.0,1.4572,1.4572,1.4572,1.4572
0.0,1.4521,1.4521,1.4521,1.4521
0.0,1.4491,1.4491,1.4491,1.4491
0.0,1.4504,1.4504,1.4504,1.4504
0.0,1.4494,1.4494,1.4494,1.4494
0.0,1.4533,1.4533,1.4533,1.4533
0.0,1.4582,1.4582,1.4582,1.4582
0.0,1.4582,1.4582,1.4582,1.4582
0.0,1.4632,1.4632,1.4632,1.4632
0.0,1.4584,1.4584,1.4584,1.4584
0.0,1.4575,1.4575,1.4575,1.4575
0.0,1.462,1.462,1.462,1.462
0.0,1.4616,1.4616,1.4616,1.4616
0.0,1.46195,1.46195,1.46195,1.46195
0.0,1.46295,1.46295,1.46295,1.46295
0.0,1.4663,1.4663,1.4663,1.4663
0.0,1.4658,1.4658,1.4658,1.4658
0.0,1.46775,1.46775,1.46775,1.46775
0.0,1.46855,1.46855,1.46855,1.46855
0.0,1.46845,1.46845,1.46845,1.46845
0.0,1.47245,1.47245,1.47245,1.47245
0.0,1.4721,1.4721,1.4721,1.4721
0.0,1.4713,1.4713,1.4713,1.4713
0.0,1.47155,1.47155,1.47155,1.47155
0.0,1.46735,1.46735,1.46735,1.46735
0.0,1.4702,1.4702,1.4702,1.4702
0.0,1.4714,1.4714,1.4714,1.4714
0.0,1.4707,1.4707,1.4707,1.4707
0.0,1.4718,1.4718,1.4718,1.4718
0.0,1.4715,1.4715,1.4715,1.4715
0.0,1.4662,1.4662,1.4662,1.4662
0.0,1.46375,1.46375,1.46375,1.46375
0.0,1.46075,1.46075,1.46075,1.46075
0.0,1.4573,1.4573,1.4573,1.4573
0.0,1.45865,1.45865,1.45865,1.45865
0.0,1.46005,1.46005,1.46005,1.46005
0.0,1.4689,1.4689,1.4689,1.4689
0.0,1.468,1.468,1.468,1.468
0.0,1.467,1.467,1.467,1.467
0.0,1.4687,1.4687,1.4687,1.4687
