result,open,high,low,close
1.0,1.06084,1.06158,1.06038,1.06084
1.0,1.06087,1.06228,1.06002,1.06153
1.0,1.0615,1.06514,1.06066,1.06388
0.0,1.06388,1.06722,1.06375,1.06604
0.0,1.06606,1.06633,1.0633,1.06477
0.0,1.06468,1.06535,1.06348,1.06358
1.0,1.06356,1.06379,1.0622,1.0626
1.0,1.06258,1.06474,1.06242,1.064
0.0,1.06398,1.06772,1.06365,1.0672
1.0,1.0672,1.06824,1.0653,1.06689
1.0,1.06691,1.06798,1.0666,1.06779
0.0,1.0677,1.06847,1.06726,1.06814
1.0,1.06816,1.06822,1.06722,1.06804
1.0,1.06801,1.07215,1.06786,1.07101
0.0,1.07104,1.07232,1.06971,1.07114
1.0,1.07114,1.07172,1.06998,1.0709
1.0,1.07092,1.07196,1.07078,1.07156
0.0,1.07129,1.07192,1.07114,1.0715
1.0,1.07148,1.07184,1.07075,1.07116
0.0,1.07114,1.07402,1.07107,1.07386
1.0,1.07388,1.0757,1.07172,1.07324
1.0,1.07326,1.07678,1.07266,1.07642
1.0,1.0764,1.07882,1.0762,1.07844
1.0,1.07641,1.0786,1.07641,1.07806
0.0,1.07808,1.07898,1.07803,1.07844
1.0,1.07846,1.07873,1.0761,1.0767
1.0,1.07673,1.08084,1.07605,1.0804
1.0,1.0804,1.08418,1.0804,1.08345
0.0,1.08348,1.08398,1.0828,1.08376
0.0,1.08382,1.08393,1.0831,1.08354
1.0,1.08352,1.08358,1.08058,1.08094
1.0,1.08092,1.08459,1.0773,1.08448
1.0,1.08446,1.08724,1.08425,1.0866
1.0,1.0866,1.0921,1.08604,1.08986
0.0,1.08989,1.09182,1.08898,1.09115
1.0,1.09118,1.09174,1.09047,1.09096
0.0,1.09094,1.0928,1.0898,1.09134
0.0,1.09136,1.09616,1.08883,1.09118
0.0,1.09116,1.09164,1.08508,1.08633
1.0,1.08633,1.08746,1.08414,1.08505
0.0,1.08507,1.08946,1.08507,1.08844
1.0,1.08849,1.08866,1.08754,1.08796
0.0,1.08798,1.08914,1.08723,1.08828
0.0,1.08826,1.08932,1.0861,1.08688
1.0,1.0869,1.08876,1.08452,1.08494
0.0,1.08492,1.08902,1.08276,1.089
0.0,1.08896,1.08916,1.08741,1.08868
0.0,1.08845,1.08876,1.08799,1.08839
0.0,1.08836,1.08893,1.08781,1.08816
0.0,1.0882,1.08915,1.08644,1.08676
1.0,1.08672,1.08912,1.0861,1.08638
0.0,1.08636,1.08759,1.08492,1.08729
0.0,1.08726,1.08735,1.08357,1.08431
1.0,1.08524,1.08552,1.0839,1.08438
0.0,1.0844,1.08542,1.08408,1.08448
0.0,1.0845,1.0854,1.08226,1.08401
0.0,1.08404,1.085,1.08315,1.08386
1.0,1.08384,1.08448,1.0815,1.08211
0.0,1.08208,1.0843,1.0815,1.0842
0.0,1.08406,1.08485,1.08354,1.08372
0.0,1.08375,1.08482,1.08236,1.08272
0.0,1.0827,1.08333,1.08035,1.08088
0.0,1.08086,1.08197,1.0786,1.079
1.0,1.079,1.08018,1.07602,1.07751
1.0,1.07748,1.0784,1.07708,1.07752
1.0,1.07726,1.07885,1.07706,1.07854
0.0,1.07857,1.07958,1.07838,1.07924
0.0,1.07926,1.08017,1.07656,1.07656
0.0,1.07653,1.0775,1.07334,1.07403
1.0,1.07405,1.0744,1.07204,1.07214
1.0,1.07212,1.07465,1.07137,1.0738
1.0,1.07349,1.07504,1.07276,1.07496
0.0,1.07494,1.07609,1.07457,1.07592
1.0,1.07594,1.0762,1.07128,1.0728
1.0,1.07284,1.07892,1.07192,1.07656
1.0,1.07656,1.0793,1.0759,1.07726
1.0,1.07728,1.07939,1.07602,1.07748
1.0,1.07736,1.0783,1.07697,1.0783
0.0,1.07828,1.07968,1.07762,1.07929
0.0,1.07926,1.07986,1.07638,1.0772
0.0,1.07722,1.07832,1.0758,1.07712
1.0,1.0771,1.0804,1.07552,1.07639
1.0,1.07636,1.07879,1.07626,1.07758
1.0,1.07818,1.07866,1.07666,1.07824
1.0,1.07826,1.08131,1.0764,1.07976
0.0,1.07974,1.08592,1.07844,1.08334
1.0,1.08331,1.08365,1.07639,1.07956
0.0,1.07956,1.08786,1.07916,1.08199
0.0,1.08196,1.08474,1.08022,1.08082
0.0,1.08076,1.08234,1.07889,1.08005
1.0,1.08002,1.08211,1.07872,1.07949
0.0,1.07946,1.0881,1.07716,1.08556
1.0,1.08559,1.086,1.0801,1.08024
0.0,1.08022,1.08392,1.07939,1.08186
1.0,1.08184,1.08342,1.07776,1.08155
1.0,1.08155,1.08548,1.08126,1.08329
0.0,1.08326,1.08584,1.08316,1.08479
0.0,1.08476,1.08532,1.08106,1.0817
1.0,1.08172,1.08186,1.07616,1.07676
1.0,1.07673,1.08047,1.07632,1.07953
0.0,1.0795,1.08204,1.07837,1.08028
1.0,1.08002,1.08077,1.07848,1.07848
0.0,1.07846,1.08202,1.07816,1.0811
1.0,1.08108,1.0822,1.07614,1.07636
1.0,1.07638,1.07927,1.07562,1.07784
1.0,1.07784,1.08379,1.07656,1.08345
0.0,1.08343,1.08712,1.08328,1.08662
1.0,1.08635,1.08667,1.08476,1.08594
0.0,1.08592,1.08696,1.08548,1.08628
0.0,1.08626,1.08686,1.08406,1.08564
0.0,1.08566,1.08648,1.07997,1.0805
1.0,1.08048,1.08264,1.07336,1.07588
1.0,1.07586,1.07728,1.07462,1.07652
0.0,1.07652,1.07653,1.07652,1.07653
1.0,1.07725,1.07863,1.07552,1.07718
0.0,1.0772,1.07984,1.0772,1.07974
1.0,1.07976,1.08066,1.07841,1.0793
1.0,1.07934,1.0825,1.07934,1.08215
1.0,1.08218,1.08534,1.08218,1.0834
0.0,1.08342,1.08554,1.0832,1.08449
1.0,1.08437,1.08447,1.08282,1.08338
1.0,1.08341,1.08452,1.0828,1.08425
0.0,1.08422,1.08618,1.08255,1.0849
1.0,1.08492,1.08641,1.08229,1.08264
1.0,1.08262,1.08545,1.08159,1.08489
0.0,1.08487,1.08718,1.08459,1.08494
1.0,1.08477,1.08656,1.08371,1.08406
1.0,1.08404,1.08502,1.0832,1.08494
1.0,1.0849,1.08684,1.08422,1.08638
1.0,1.08641,1.08818,1.08553,1.08765
0.0,1.08762,1.08992,1.08676,1.08901
0.0,1.08899,1.0902,1.08762,1.08844
1.0,1.08848,1.08858,1.08736,1.08738
1.0,1.08742,1.08795,1.08708,1.0877
0.0,1.08773,1.08975,1.08773,1.08948
0.0,1.0895,1.09032,1.08376,1.08442
0.0,1.08445,1.08602,1.0828,1.08398
1.0,1.08396,1.08551,1.08208,1.08276
0.0,1.08282,1.08464,1.08233,1.08336
1.0,1.08339,1.08396,1.08006,1.08163
0.0,1.08166,1.08744,1.08073,1.08496
0.0,1.08498,1.08642,1.08191,1.08427
0.0,1.0843,1.08576,1.08334,1.0843
1.0,1.08428,1.08617,1.08329,1.08409
0.0,1.08411,1.08526,1.08338,1.08455
1.0,1.08458,1.08532,1.08306,1.0841
1.0,1.08408,1.08606,1.08328,1.08604
1.0,1.08606,1.08804,1.08502,1.08766
0.0,1.08768,1.08996,1.08765,1.0897
0.0,1.08967,1.08971,1.08901,1.08936
1.0,1.0894,1.08948,1.08815,1.08849
1.0,1.08846,1.0891,1.08732,1.08883
1.0,1.0888,1.0916,1.08806,1.09082
1.0,1.09084,1.09264,1.0904,1.09247
1.0,1.09247,1.09633,1.09239,1.09604
0.0,1.09602,1.09836,1.09588,1.09691
0.0,1.09697,1.09697,1.09554,1.0963
0.0,1.09633,1.09742,1.09422,1.09463
1.0,1.0946,1.09571,1.08786,1.0896
1.0,1.08958,1.09102,1.08798,1.08996
1.0,1.08998,1.0924,1.08888,1.0905
1.0,1.09048,1.09394,1.08954,1.09313
1.0,1.09304,1.09474,1.09238,1.09388
0.0,1.09391,1.0971,1.09341,1.09639
1.0,1.09636,1.09675,1.09273,1.0929
1.0,1.09293,1.09452,1.0922,1.0938
1.0,1.09382,1.09686,1.0931,1.09562
0.0,1.09564,1.09831,1.0954,1.0977
1.0,1.09773,1.09858,1.09656,1.09763
1.0,1.09766,1.09867,1.09766,1.09865
1.0,1.09868,1.0992,1.09704,1.09901
1.0,1.09903,1.10375,1.09868,1.10356
0.0,1.10356,1.10496,1.09988,1.10488
1.0,1.1049,1.10496,1.09744,1.09869
0.0,1.09904,1.09998,1.09816,1.09916
1.0,1.09918,1.09924,1.09812,1.09812
0.0,1.09814,1.10118,1.09811,1.09966
0.0,1.09964,1.09964,1.0966,1.09742
1.0,1.0974,1.09781,1.09392,1.0951
0.0,1.09507,1.09652,1.09477,1.09584
1.0,1.09598,1.096,1.09454,1.09462
1.0,1.09466,1.09566,1.09438,1.09538
1.0,1.09536,1.0975,1.09456,1.09585
1.0,1.0959,1.09766,1.0952,1.09692
0.0,1.09689,1.09928,1.09654,1.09894
1.0,1.09892,1.09988,1.09748,1.09764
0.0,1.09768,1.09945,1.09724,1.09945
0.0,1.09942,1.09942,1.09744,1.09818
0.0,1.09816,1.0982,1.09436,1.09476
1.0,1.09472,1.09532,1.09158,1.0925
1.0,1.09247,1.09538,1.09156,1.09462
0.0,1.09465,1.09707,1.09418,1.09668
1.0,1.09641,1.09689,1.09568,1.09576
0.0,1.09578,1.09747,1.09564,1.09662
0.0,1.0966,1.09784,1.09472,1.09638
1.0,1.0964,1.09748,1.0948,1.09614
0.0,1.09612,1.09899,1.0957,1.09885
0.0,1.09888,1.09952,1.09492,1.09706
0.0,1.09745,1.09862,1.09516,1.09566
1.0,1.09568,1.09578,1.09476,1.09562
0.0,1.0956,1.09735,1.09475,1.09648
1.0,1.09646,1.09646,1.09,1.09114
1.0,1.09116,1.09358,1.09078,1.09309
1.0,1.09312,1.09661,1.09294,1.09432
1.0,1.0942,1.09502,1.09342,1.09484
0.0,1.09482,1.09582,1.09462,1.09516
0.0,1.09514,1.09579,1.09216,1.0922
0.0,1.09217,1.09224,1.08956,1.0914
1.0,1.09138,1.0929,1.08567,1.08604
1.0,1.08602,1.08795,1.08442,1.08728
1.0,1.08714,1.0882,1.08714,1.08818
0.0,1.0882,1.08876,1.08796,1.08838
0.0,1.08836,1.08869,1.08614,1.0883
0.0,1.08832,1.08884,1.08564,1.086
1.0,1.08603,1.08618,1.08232,1.08297
0.0,1.08295,1.08572,1.08294,1.08497
1.0,1.08504,1.08548,1.08414,1.08454
1.0,1.08456,1.08546,1.08415,1.08502
1.0,1.08504,1.08744,1.08458,1.08726
1.0,1.08724,1.09024,1.0865,1.08807
1.0,1.08805,1.09342,1.08776,1.09251
0.0,1.09248,1.09589,1.09242,1.09589
1.0,1.09556,1.09573,1.09466,1.09473
0.0,1.09476,1.09532,1.09418,1.0952
0.0,1.09517,1.09532,1.09283,1.09347
1.0,1.09349,1.09512,1.09232,1.09314
0.0,1.09312,1.0958,1.0917,1.09558
0.0,1.09561,1.09672,1.09446,1.0953
1.0,1.09389,1.09501,1.09263,1.09319
1.0,1.09322,1.09448,1.09298,1.0938
0.0,1.09382,1.09492,1.09171,1.09466
1.0,1.09468,1.09516,1.08914,1.09235
1.0,1.09232,1.09485,1.09082,1.09468
1.0,1.0947,1.09828,1.09462,1.09634
0.0,1.09533,1.09704,1.09505,1.09616
