result,open,high,low,close
0.0,0.6399,0.6399,0.6399,0.6399
0.0,0.6375,0.6375,0.6375,0.6375
0.0,0.6393,0.6393,0.6393,0.6393
0.0,0.64,0.64,0.64,0.64
0.0,0.6392,0.6392,0.6392,0.6392
0.0,0.6391,0.6391,0.6391,0.6391
0.0,0.64055,0.64055,0.64055,0.64055
0.0,0.64025,0.64025,0.64025,0.64025
0.0,0.63705,0.63705,0.63705,0.63705
0.0,0.64,0.64,0.64,0.64
0.0,0.6401,0.6401,0.6401,0.6401
0.0,0.6387,0.6387,0.6387,0.6387
0.0,0.6407,0.6407,0.6407,0.6407
0.0,0.638,0.638,0.638,0.638
0.0,0.6358,0.6358,0.6358,0.6358
0.0,0.6334,0.6334,0.6334,0.6334
0.0,0.6335,0.6335,0.6335,0.6335
0.0,0.6355,0.6355,0.6355,0.6355
0.0,0.6371,0.6371,0.6371,0.6371
0.0,0.6344,0.6344,0.6344,0.6344
0.0,0.6337,0.6337,0.6337,0.6337
0.0,0.63,0.63,0.63,0.63
0.0,0.6293,0.6293,0.6293,0.6293
0.0,0.6271,0.6271,0.6271,0.6271
0.0,0.6287,0.6287,0.6287,0.6287
0.0,0.6263,0.6263,0.6263,0.6263
0.0,0.6258,0.6258,0.6258,0.6258
0.0,0.6289,0.6289,0.6289,0.6289
0.0,0.6321,0.6321,0.6321,0.6321
0.0,0.6311,0.6311,0.6311,0.6311
0.0,0.634,0.634,0.634,0.634
0.0,0.6318,0.6318,0.6318,0.6318
0.0,0.6316,0.6316,0.6316,0.6316
0.0,0.6306,0.6306,0.6306,0.6306
0.0,0.6296,0.6296,0.6296,0.6296
0.0,0.6269,0.6269,0.6269,0.6269
0.0,0.6268,0.6268,0.6268,0.6268
0.0,0.6282,0.6282,0.6282,0.6282
0.0,0.6284,0.6284,0.6284,0.6284
0.0,0.6294,0.6294,0.6294,0.6294
0.0,0.6278,0.6278,0.6278,0.6278
0.0,0.6287,0.6287,0.6287,0.6287
0.0,0.6289,0.6289,0.6289,0.6289
0.0,0.6254,0.6254,0.6254,0.6254
0.0,0.6261,0.6261,0.6261,0.6261
0.0,0.6276,0.6276,0.6276,0.6276
0.0,0.6301,0.6301,0.6301,0.6301
0.0,0.6326,0.6326,0.6326,0.6326
0.0,0.6306,0.6306,0.6306,0.6306
0.0,0.632,0.632,0.632,0.632
0.0,0.6321,0.6321,0.6321,0.6321
0.0,0.6337,0.6337,0.6337,0.6337
0.0,0.6324,0.6324,0.6324,0.6324
0.0,0.6315,0.6315,0.6315,0.6315
0.0,0.6262,0.6262,0.6262,0.6262
0.0,0.6287,0.6287,0.6287,0.6287
0.0,0.6287,0.6287,0.6287,0.6287
0.0,0.6312,0.6312,0.6312,0.6312
0.0,0.6324,0.6324,0.6324,0.6324
0.0,0.63055,0.63055,0.63055,0.63055
0.0,0.62935,0.62935,0.62935,0.62935
0.0,0.6295,0.6295,0.6295,0.6295
0.0,0.6311,0.6311,0.6311,0.6311
0.0,0.631,0.631,0.631,0.631
0.0,0.6315,0.6315,0.6315,0.6315
0.0,0.63185,0.63185,0.63185,0.63185
0.0,0.6326,0.6326,0.6326,0.6326
0.0,0.6374,0.6374,0.6374,0.6374
