result,open,high,low,close
1.0,0.70204,0.70217,0.70134,0.70162
0.0,0.70164,0.704,0.70156,0.704
0.0,0.70398,0.70456,0.7023,0.70286
0.0,0.70284,0.70452,0.70106,0.70136
0.0,0.70133,0.70178,0.69908,0.6992
1.0,0.69928,0.69984,0.69844,0.6985
0.0,0.69848,0.69938,0.6981,0.69922
1.0,0.69924,0.6995,0.69652,0.69682
0.0,0.6968,0.69849,0.69533,0.69698
1.0,0.69698,0.69798,0.69512,0.69678
0.0,0.6968,0.69912,0.69666,0.69892
0.0,0.69898,0.69997,0.69852,0.69883
0.0,0.69886,0.69888,0.6982,0.69867
1.0,0.69865,0.70024,0.69734,0.69745
1.0,0.69747,0.70436,0.69689,0.70092
1.0,0.70096,0.70464,0.7008,0.7034
1.0,0.70338,0.70455,0.70338,0.70432
0.0,0.70418,0.70452,0.70388,0.70422
0.0,0.70424,0.70492,0.70344,0.70386
0.0,0.70384,0.70633,0.70315,0.70364
1.0,0.70362,0.70634,0.70161,0.7018
0.0,0.70177,0.70953,0.7017,0.70808
0.0,0.70806,0.70876,0.70732,0.7078
1.0,0.70785,0.70798,0.70736,0.70736
1.0,0.70734,0.70854,0.70722,0.70842
0.0,0.70844,0.70968,0.70732,0.70867
1.0,0.7087,0.70904,0.70598,0.70598
0.0,0.70601,0.7075,0.70526,0.70696
1.0,0.70694,0.70815,0.70619,0.70671
0.0,0.7068,0.7072,0.70668,0.70716
1.0,0.70714,0.70725,0.70466,0.7051
1.0,0.70512,0.70796,0.70392,0.70739
0.0,0.70735,0.7108,0.70672,0.71068
1.0,0.71068,0.71174,0.70764,0.70766
0.0,0.70768,0.70918,0.70766,0.70908
1.0,0.70902,0.70922,0.70836,0.70843
1.0,0.70841,0.71192,0.70833,0.71162
0.0,0.71164,0.71703,0.71085,0.7148
1.0,0.71478,0.71524,0.7136,0.71366
1.0,0.71366,0.7166,0.71344,0.71428
0.0,0.7143,0.71544,0.7143,0.71484
0.0,0.71472,0.71496,0.71414,0.7143
0.0,0.71428,0.71566,0.71269,0.7132
0.0,0.71318,0.71366,0.71058,0.71226
1.0,0.71223,0.71224,0.71014,0.71093
1.0,0.71093,0.71514,0.71091,0.71378
1.0,0.71376,0.71494,0.71314,0.7143
0.0,0.71415,0.71482,0.71412,0.7146
0.0,0.71458,0.71458,0.71353,0.71444
0.0,0.71442,0.71516,0.71319,0.71372
0.0,0.7137,0.71588,0.7133,0.71346
0.0,0.71346,0.71348,0.71084,0.7118
0.0,0.71178,0.71178,0.70963,0.71021
0.0,0.71028,0.71058,0.70872,0.70904
1.0,0.70906,0.70933,0.70824,0.70874
1.0,0.70876,0.70989,0.70646,0.70962
1.0,0.70964,0.71139,0.70901,0.71062
0.0,0.71062,0.71109,0.70914,0.71069
0.0,0.71066,0.7112,0.71008,0.71066
0.0,0.71073,0.71099,0.71052,0.71067
0.0,0.71069,0.711,0.70951,0.70958
0.0,0.70955,0.71167,0.7064,0.70682
1.0,0.7068,0.70696,0.70264,0.70332
0.0,0.70332,0.70521,0.70284,0.7047
1.0,0.70468,0.70472,0.7035,0.70403
1.0,0.70392,0.70446,0.70375,0.70431
0.0,0.70434,0.70516,0.70424,0.70511
0.0,0.70509,0.70641,0.70468,0.70496
1.0,0.70494,0.70598,0.70372,0.70483
1.0,0.70486,0.70736,0.70418,0.70674
1.0,0.70672,0.70966,0.70563,0.7092
1.0,0.70928,0.71025,0.70868,0.70978
1.0,0.70976,0.71035,0.70949,0.71002
0.0,0.71004,0.71347,0.70912,0.71336
1.0,0.71334,0.71498,0.71223,0.71225
1.0,0.71225,0.71543,0.71225,0.71388
1.0,0.71391,0.71644,0.7136,0.71643
1.0,0.71626,0.71647,0.7157,0.71633
0.0,0.7163,0.71938,0.71621,0.71914
1.0,0.71916,0.71948,0.71514,0.71627
1.0,0.71629,0.7217,0.71594,0.71986
1.0,0.71987,0.72472,0.71884,0.72316
1.0,0.72314,0.72598,0.72286,0.72552
1.0,0.72564,0.72693,0.72486,0.72674
0.0,0.72676,0.7329,0.72674,0.73026
1.0,0.73028,0.73373,0.72919,0.7301
1.0,0.73012,0.73348,0.72912,0.73234
1.0,0.73234,0.7423,0.73229,0.7324
0.0,0.73242,0.73672,0.73172,0.73638
0.0,0.7365,0.7366,0.73294,0.73434
0.0,0.7343,0.73452,0.73149,0.73226
0.0,0.73224,0.73446,0.72968,0.73196
1.0,0.73198,0.7321,0.72589,0.72712
1.0,0.7271,0.72845,0.72637,0.72778
1.0,0.7278,0.73486,0.72736,0.73413
0.0,0.73413,0.73629,0.73322,0.73428
0.0,0.7343,0.7351,0.73189,0.73211
0.0,0.73209,0.73387,0.73026,0.73176
1.0,0.73174,0.7335,0.72922,0.73045
0.0,0.73048,0.73646,0.72976,0.73512
1.0,0.7351,0.73608,0.73047,0.73167
1.0,0.73161,0.73274,0.73128,0.7321
0.0,0.73207,0.73251,0.73026,0.73248
1.0,0.73246,0.73348,0.72802,0.7287
1.0,0.72873,0.73173,0.72842,0.72891
1.0,0.72892,0.73066,0.72766,0.72929
0.0,0.72926,0.7311,0.72895,0.73006
1.0,0.7299,0.73024,0.72874,0.72902
1.0,0.72904,0.7301,0.72882,0.72922
0.0,0.72924,0.73399,0.72878,0.73344
0.0,0.73346,0.73542,0.73148,0.73173
0.0,0.73176,0.73307,0.72602,0.7268
0.0,0.72678,0.72792,0.72593,0.72669
1.0,0.72669,0.72669,0.72669,0.72669
1.0,0.7249,0.72802,0.72462,0.72777
0.0,0.72775,0.72984,0.72705,0.72917
1.0,0.72919,0.7297,0.72624,0.72634
1.0,0.72637,0.729,0.72634,0.72807
1.0,0.72809,0.73084,0.72738,0.73013
1.0,0.73015,0.73224,0.73008,0.7306
1.0,0.73064,0.73172,0.73028,0.73112
1.0,0.73115,0.73316,0.73078,0.73221
0.0,0.73219,0.73731,0.73158,0.73538
1.0,0.7354,0.7359,0.7326,0.73513
1.0,0.73511,0.73628,0.73314,0.7357
0.0,0.73567,0.7395,0.73553,0.73932
1.0,0.73924,0.73948,0.73626,0.73633
1.0,0.73631,0.73734,0.73586,0.73674
0.0,0.73672,0.73824,0.73443,0.73744
0.0,0.73746,0.73883,0.73508,0.73568
0.0,0.7357,0.73584,0.73334,0.7338
0.0,0.73382,0.73445,0.73316,0.73376
1.0,0.73372,0.7338,0.7323,0.73254
1.0,0.73256,0.73386,0.73256,0.73358
0.0,0.73356,0.73749,0.73354,0.73678
1.0,0.73676,0.73676,0.72765,0.72808
1.0,0.72806,0.72988,0.72783,0.72872
1.0,0.7287,0.7298,0.72842,0.72899
1.0,0.72906,0.7302,0.72858,0.72966
1.0,0.72969,0.7314,0.7294,0.73074
1.0,0.73076,0.73274,0.72966,0.73108
1.0,0.73106,0.73271,0.72836,0.73216
1.0,0.73218,0.73343,0.73076,0.73319
0.0,0.73316,0.7351,0.73312,0.73483
0.0,0.7353,0.7357,0.73347,0.73528
0.0,0.7353,0.7353,0.73344,0.73358
0.0,0.73356,0.73466,0.73121,0.7315
0.0,0.73148,0.7329,0.72995,0.73096
1.0,0.73096,0.7316,0.73028,0.73076
0.0,0.73074,0.73158,0.73054,0.73118
1.0,0.73122,0.73156,0.7303,0.73092
0.0,0.7309,0.73299,0.73,0.7321
0.0,0.73207,0.73232,0.72698,0.72722
1.0,0.72724,0.72754,0.72416,0.72578
1.0,0.72576,0.7285,0.72562,0.72753
0.0,0.72756,0.72832,0.72598,0.72764
0.0,0.72753,0.72839,0.7268,0.72681
1.0,0.72684,0.72759,0.72516,0.726
0.0,0.72597,0.72984,0.72508,0.72892
1.0,0.72894,0.72924,0.72442,0.7245
1.0,0.72448,0.72688,0.72405,0.72637
1.0,0.72634,0.7295,0.72606,0.72922
0.0,0.72918,0.732,0.72912,0.73134
0.0,0.73136,0.73182,0.72922,0.73046
1.0,0.73043,0.73122,0.72754,0.72768
1.0,0.72766,0.7287,0.72428,0.72823
1.0,0.72825,0.72999,0.72624,0.72961
1.0,0.72959,0.73097,0.72915,0.7303
0.0,0.73034,0.73181,0.72993,0.73036
1.0,0.73039,0.7308,0.72984,0.73016
0.0,0.73018,0.73273,0.72993,0.73164
1.0,0.73162,0.73187,0.72942,0.73089
0.0,0.73089,0.73552,0.73083,0.73522
0.0,0.73519,0.73562,0.73423,0.73484
1.0,0.73462,0.73569,0.73402,0.73439
0.0,0.73437,0.73512,0.73366,0.7348
1.0,0.73482,0.7359,0.73262,0.73387
0.0,0.73385,0.73496,0.73251,0.7339
0.0,0.7339,0.7354,0.7329,0.73372
0.0,0.7337,0.73409,0.73302,0.7335
1.0,0.73346,0.73378,0.73274,0.73294
0.0,0.73296,0.73406,0.73292,0.7335
1.0,0.73352,0.73444,0.73128,0.7322
1.0,0.73218,0.73525,0.73208,0.73432
0.0,0.7343,0.73544,0.73342,0.73481
1.0,0.73478,0.73571,0.7339,0.73437
1.0,0.73424,0.73529,0.73424,0.73516
0.0,0.7352,0.7359,0.73502,0.73564
0.0,0.73566,0.73587,0.73009,0.7306
1.0,0.73063,0.73076,0.72662,0.72929
0.0,0.72929,0.73074,0.72778,0.7304
