result,open,high,low,close
0.0,1.66638,1.66914,1.66481,1.66776
1.0,1.66776,1.66838,1.66013,1.66036
0.0,1.66036,1.66528,1.6601,1.66472
0.0,1.66473,1.66745,1.66149,1.66465
0.0,1.66466,1.66925,1.66343,1.6642
1.0,1.66356,1.66878,1.6614,1.6623
0.0,1.6623,1.66596,1.66162,1.6652
1.0,1.66519,1.66655,1.66078,1.66106
1.0,1.66106,1.66702,1.66019,1.662
1.0,1.66202,1.67172,1.6617,1.67102
0.0,1.67103,1.67898,1.67064,1.67485
0.0,1.67477,1.67538,1.66976,1.67058
0.0,1.67059,1.67202,1.66686,1.66866
0.0,1.66864,1.67158,1.66599,1.66653
1.0,1.6665,1.66993,1.66486,1.66541
0.0,1.66539,1.66996,1.66498,1.66832
1.0,1.66833,1.66964,1.66656,1.66702
0.0,1.66706,1.67007,1.66593,1.66867
0.0,1.66867,1.67156,1.66228,1.66546
0.0,1.66547,1.66964,1.66272,1.66546
0.0,1.66547,1.66702,1.65725,1.66282
0.0,1.6628,1.66362,1.65434,1.66057
1.0,1.66056,1.66118,1.65318,1.65556
1.0,1.65728,1.6602,1.65691,1.6586
1.0,1.65856,1.66019,1.65586,1.65948
0.0,1.65948,1.67047,1.65828,1.66902
0.0,1.66904,1.66958,1.66312,1.66632
0.0,1.66634,1.66834,1.66313,1.6654
0.0,1.66539,1.66813,1.66344,1.66465
1.0,1.66514,1.6684,1.66292,1.66438
1.0,1.66438,1.67822,1.66351,1.67506
1.0,1.67506,1.68552,1.67344,1.68379
0.0,1.68378,1.68994,1.68138,1.68874
1.0,1.68873,1.69412,1.68676,1.68766
0.0,1.68767,1.69092,1.68696,1.68958
1.0,1.68948,1.68959,1.68416,1.68622
0.0,1.68624,1.70772,1.68402,1.7069
0.0,1.70689,1.70695,1.69088,1.69728
0.0,1.6973,1.69882,1.68281,1.6916
1.0,1.69161,1.69504,1.6838,1.68384
1.0,1.68384,1.69024,1.68377,1.68562
0.0,1.68556,1.69114,1.68254,1.6881
1.0,1.68812,1.69206,1.67919,1.68446
0.0,1.68446,1.69158,1.68282,1.69128
1.0,1.69129,1.6954,1.68782,1.6905
0.0,1.6905,1.69848,1.68916,1.69713
1.0,1.69712,1.69804,1.69342,1.69703
1.0,1.69651,1.70548,1.69623,1.7041
0.0,1.70412,1.71036,1.70265,1.7075
1.0,1.7075,1.70765,1.70005,1.70288
0.0,1.70286,1.70598,1.69898,1.7044
1.0,1.7044,1.7044,1.69582,1.69906
0.0,1.69905,1.70088,1.6975,1.69916
0.0,1.69983,1.70072,1.69549,1.69918
0.0,1.69917,1.69917,1.69535,1.69584
0.0,1.69587,1.69678,1.69036,1.69508
0.0,1.6951,1.69718,1.69012,1.6913
1.0,1.6913,1.69254,1.68285,1.68392
0.0,1.6839,1.68714,1.683,1.68524
0.0,1.68545,1.68602,1.68268,1.68316
1.0,1.68315,1.68323,1.67582,1.67722
0.0,1.67721,1.68612,1.67573,1.68356
0.0,1.68356,1.68404,1.67802,1.6802
0.0,1.68016,1.68195,1.67242,1.67538
1.0,1.67542,1.67708,1.67002,1.67004
1.0,1.67047,1.6765,1.67002,1.6761
0.0,1.67612,1.67974,1.67498,1.67906
1.0,1.67906,1.68158,1.67676,1.67788
1.0,1.67794,1.68028,1.67505,1.67948
1.0,1.67948,1.68752,1.67888,1.68272
1.0,1.68272,1.68581,1.67738,1.68456
