result,open,high,low,close
0.0,0.98485,0.98485,0.98485,0.98485
0.0,0.9822,0.9822,0.9822,0.9822
0.0,0.9823,0.9823,0.9823,0.9823
0.0,0.9837,0.9837,0.9837,0.9837
0.0,0.99695,0.99695,0.99695,0.99695
0.0,0.9929,0.9929,0.9929,0.9929
0.0,0.9916,0.9916,0.9916,0.9916
0.0,0.9816,0.9816,0.9816,0.9816
0.0,0.97955,0.97955,0.97955,0.97955
0.0,0.97555,0.97555,0.97555,0.97555
0.0,0.98195,0.98195,0.98195,0.98195
0.0,0.9717,0.9717,0.9717,0.9717
0.0,0.9708,0.9708,0.9708,0.9708
0.0,0.9692,0.9692,0.9692,0.9692
0.0,0.97465,0.97465,0.97465,0.97465
0.0,0.97795,0.97795,0.97795,0.97795
0.0,0.98665,0.98665,0.98665,0.98665
0.0,0.9823,0.9823,0.9823,0.9823
0.0,0.9811,0.9811,0.9811,0.9811
0.0,0.97815,0.97815,0.97815,0.97815
0.0,0.9815,0.9815,0.9815,0.9815
0.0,0.9762,0.9762,0.9762,0.9762
0.0,0.97665,0.97665,0.97665,0.97665
0.0,0.9805,0.9805,0.9805,0.9805
0.0,0.981,0.981,0.981,0.981
0.0,0.9875,0.9875,0.9875,0.9875
0.0,0.9829,0.9829,0.9829,0.9829
0.0,0.98695,0.98695,0.98695,0.98695
0.0,0.9879,0.9879,0.9879,0.9879
0.0,0.9793,0.9793,0.9793,0.9793
0.0,0.9797,0.9797,0.9797,0.9797
0.0,0.9835,0.9835,0.9835,0.9835
0.0,0.9788,0.9788,0.9788,0.9788
0.0,0.98975,0.98975,0.98975,0.98975
0.0,0.9863,0.9863,0.9863,0.9863
0.0,0.9873,0.9873,0.9873,0.9873
0.0,0.9872,0.9872,0.9872,0.9872
0.0,0.9871,0.9871,0.9871,0.9871
0.0,0.9817,0.9817,0.9817,0.9817
0.0,0.9814,0.9814,0.9814,0.9814
0.0,0.9709,0.9709,0.9709,0.9709
0.0,0.9723,0.9723,0.9723,0.9723
0.0,0.9724,0.9724,0.9724,0.9724
0.0,0.9733,0.9733,0.9733,0.9733
0.0,0.9776,0.9776,0.9776,0.9776
0.0,0.9765,0.9765,0.9765,0.9765
0.0,0.978,0.978,0.978,0.978
0.0,0.9761,0.9761,0.9761,0.9761
0.0,0.9765,0.9765,0.9765,0.9765
0.0,0.9844,0.9844,0.9844,0.9844
0.0,0.9836,0.9836,0.9836,0.9836
0.0,0.9843,0.9843,0.9843,0.9843
0.0,0.9898,0.9898,0.9898,0.9898
0.0,0.9967,0.9967,0.9967,0.9967
0.0,0.9972,0.9972,0.9972,0.9972
0.0,0.9971,0.9971,0.9971,0.9971
0.0,0.9977,0.9977,0.9977,0.9977
0.0,1.0003,1.0003,1.0003,1.0003
0.0,1.0029,1.0029,1.0029,1.0029
0.0,1.0093,1.0093,1.0093,1.0093
0.0,1.013,1.013,1.013,1.013
0.0,1.01285,1.01285,1.01285,1.01285
0.0,1.0106,1.0106,1.0106,1.0106
0.0,1.0123,1.0123,1.0123,1.0123
0.0,1.0068,1.0068,1.0068,1.0068
0.0,1.0043,1.0043,1.0043,1.0043
0.0,1.0093,1.0093,1.0093,1.0093
0.0,1.0093,1.0093,1.0093,1.0093
0.0,1.008,1.008,1.008,1.008
0.0,1.0034,1.0034,1.0034,1.0034
0.0,1.0015,1.0015,1.0015,1.0015
0.0,1.0014,1.0014,1.0014,1.0014
0.0,0.9972,0.9972,0.9972,0.9972
0.0,0.9966,0.9966,0.9966,0.9966
0.0,0.9968,0.9968,0.9968,0.9968
0.0,0.9912,0.9912,0.9912,0.9912
0.0,0.9935,0.9935,0.9935,0.9935
0.0,0.9905,0.9905,0.9905,0.9905
0.0,0.99465,0.99465,0.99465,0.99465
0.0,0.9944,0.9944,0.9944,0.9944
0.0,0.9945,0.9945,0.9945,0.9945
0.0,0.9967,0.9967,0.9967,0.9967
0.0,0.9966,0.9966,0.9966,0.9966
0.0,1.0005,1.0005,1.0005,1.0005
0.0,1.0008,1.0008,1.0008,1.0008
0.0,1.0098,1.0098,1.0098,1.0098
0.0,1.0088,1.0088,1.0088,1.0088
0.0,1.011,1.011,1.011,1.011
0.0,1.0106,1.0106,1.0106,1.0106
0.0,1.0084,1.0084,1.0084,1.0084
0.0,1.0083,1.0083,1.0083,1.0083
0.0,1.0184,1.0184,1.0184,1.0184
0.0,1.0229,1.0229,1.0229,1.0229
0.0,1.0237,1.0237,1.0237,1.0237
0.0,1.0229,1.0229,1.0229,1.0229
0.0,1.02845,1.02845,1.02845,1.02845
0.0,1.0264,1.0264,1.0264,1.0264
0.0,1.0274,1.0274,1.0274,1.0274
0.0,1.0268,1.0268,1.0268,1.0268
0.0,1.0276,1.0276,1.0276,1.0276
0.0,1.0263,1.0263,1.0263,1.0263
0.0,1.0301,1.0301,1.0301,1.0301
0.0,1.03225,1.03225,1.03225,1.03225
0.0,1.0374,1.0374,1.0374,1.0374
0.0,1.0439,1.0439,1.0439,1.0439
0.0,1.0426,1.0426,1.0426,1.0426
0.0,1.0435,1.0435,1.0435,1.0435
0.0,1.0493,1.0493,1.0493,1.0493
0.0,1.03615,1.03615,1.03615,1.03615
0.0,1.0415,1.0415,1.0415,1.0415
0.0,1.0422,1.0422,1.0422,1.0422
0.0,1.0468,1.0468,1.0468,1.0468
0.0,1.0418,1.0418,1.0418,1.0418
0.0,1.0493,1.0493,1.0493,1.0493
0.0,1.0488,1.0488,1.0488,1.0488
0.0,1.0579,1.0579,1.0579,1.0579
0.0,1.0572,1.0572,1.0572,1.0572
0.0,1.0577,1.0577,1.0577,1.0577
0.0,1.0545,1.0545,1.0545,1.0545
0.0,1.0552,1.0552,1.0552,1.0552
0.0,1.055,1.055,1.055,1.055
0.0,1.0618,1.0618,1.0618,1.0618
0.0,1.0669,1.0669,1.0669,1.0669
0.0,1.0656,1.0656,1.0656,1.0656
0.0,1.068,1.068,1.068,1.068
0.0,1.0722,1.0722,1.0722,1.0722
0.0,1.0731,1.0731,1.0731,1.0731
0.0,1.0751,1.0751,1.0751,1.0751
0.0,1.083,1.083,1.083,1.083
0.0,1.0831,1.0831,1.0831,1.0831
0.0,1.0844,1.0844,1.0844,1.0844
0.0,1.0856,1.0856,1.0856,1.0856
0.0,1.0821,1.0821,1.0821,1.0821
0.0,1.08335,1.08335,1.08335,1.08335
0.0,1.0815,1.0815,1.0815,1.0815
0.0,1.0765,1.0765,1.0765,1.0765
0.0,1.0789,1.0789,1.0789,1.0789
0.0,1.0781,1.0781,1.0781,1.0781
0.0,1.0883,1.0883,1.0883,1.0883
0.0,1.0794,1.0794,1.0794,1.0794
0.0,1.0834,1.0834,1.0834,1.0834
0.0,1.0827,1.0827,1.0827,1.0827
0.0,1.0821,1.0821,1.0821,1.0821
0.0,1.0809,1.0809,1.0809,1.0809
0.0,1.0739,1.0739,1.0739,1.0739
0.0,1.0733,1.0733,1.0733,1.0733
0.0,1.0718,1.0718,1.0718,1.0718
0.0,1.0835,1.0835,1.0835,1.0835
0.0,1.0794,1.0794,1.0794,1.0794
0.0,1.0764,1.0764,1.0764,1.0764
0.0,1.0732,1.0732,1.0732,1.0732
0.0,1.0691,1.0691,1.0691,1.0691
0.0,1.0746,1.0746,1.0746,1.0746
0.0,1.0818,1.0818,1.0818,1.0818
0.0,1.0762,1.0762,1.0762,1.0762
0.0,1.0764,1.0764,1.0764,1.0764
0.0,1.0735,1.0735,1.0735,1.0735
0.0,1.0797,1.0797,1.0797,1.0797
0.0,1.0764,1.0764,1.0764,1.0764
0.0,1.0785,1.0785,1.0785,1.0785
